id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;feriado
563185.0;2023-11-23;quinta-feira;23:00:00;SP;116.0;276;EMBU DAS ARTES;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Sem Vítimas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;0;0;2;0;0;2;-23,64262417;-46,83811382;SPRF-SP;DEL04-SP;UOP01-DEL04-SP;false
563220.0;2023-11-24;sexta-feira;01:10:00;SP;381.0;21;BRAGANCA PAULISTA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;Curva;Não;2;0;0;1;1;0;1;2;-22,99140199;-46,50878201;SPRF-SP;DEL03-SP;UOP02-DEL03-SP;false
563279.0;2023-10-31;terça-feira;08:15:00;SP;381.0;26,2;ATIBAIA;Condutor deixou de manter distância do veículo da frente;Engavetamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;6;0;1;2;3;0;3;6;-23,02679312;-46,53612988;SPRF-SP;DEL03-SP;UOP02-DEL03-SP;false
563382.0;2023-11-24;sexta-feira;20:20:00;SP;459.0;8,7;PIQUETE;Curva acentuada;Colisão frontal;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Curva;Não;3;0;1;0;2;0;1;2;-22,57524131;-45,19316196;SPRF-SP;DEL08-SP;UOP02-DEL08-SP;false
563404.0;2023-11-25;sábado;02:35:00;SP;153.0;304,3;CAMPOS NOVOS PAULISTA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Fatais;Plena Noite;Decrescente;Nublado;Simples;"Reta;Declive                  ";Sim;3;1;1;0;1;0;1;2;-22,616727;-49,88953502;SPRF-SP;DEL07-SP;UOP03-DEL07-SP;false
563466.0;2023-11-25;sábado;07:35:00;SP;116.0;30,5;CRUZEIRO;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;6;0;2;0;4;0;2;2;-22,63400287;-44,93203106;SPRF-SP;DEL08-SP;UOP02-DEL08-SP;false
563744.0;2023-11-26;domingo;15:30:00;SP;116.0;162;JACAREI;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1;0;1;0;0;0;1;1;-23,28133317;-45,98394689;SPRF-SP;DEL02-SP;UOP01-DEL02-SP;false
563757.0;2023-11-26;domingo;16:00:00;SP;116.0;107;TAUBATE;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Reta;Não;2;0;0;1;1;0;1;2;-23,01791287;-45,53009409;SPRF-SP;DEL02-SP;UOP02-DEL02-SP;false
563843.0;2023-11-26;domingo;21:50:00;SP;116.0;354,9;MIRACATU;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;"Curva;Declive                 ";Não;3;0;2;0;1;0;2;2;-24,08289401;-47,25237399;SPRF-SP;DEL04-SP;UOP03-DEL04-SP;false
563845.0;2023-11-26;domingo;23:00:00;SP;116.0;476;JACUPIRANGA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Garoa/Chuvisco;Simples;"Interseção de Vias;Viaduto    ";Não;3;0;0;1;1;1;1;3;-24,6928255;-47,99567352;SPRF-SP;DEL05-SP;UOP01-DEL05-SP;false
563853.0;2023-11-27;segunda-feira;00:20:00;SP;116.0;337;JUQUITIBA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Crescente;Ignorado;Dupla;Reta;Sim;1;0;0;0;0;1;0;1;-23,9818403;-47,14564419;SPRF-SP;DEL04-SP;UOP03-DEL04-SP;false
564054.0;2023-11-28;terça-feira;03:20:00;SP;116.0;528;BARRA DO TURVO;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Dupla;Reta;Não;2;0;1;0;1;0;1;2;-24,93621048;-48,29215184;SPRF-SP;DEL05-SP;UOP02-DEL05-SP;false
564072.0;2023-11-28;terça-feira;04:10:00;SP;116.0;459;PARIQUERA-ACU;Ausência de reação do condutor;Saída de leito carroçável;Sem Vítimas;Amanhecer;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;0;0;1;0;0;1;-24,60387477;-47,8770803;SPRF-SP;DEL05-SP;UOP01-DEL05-SP;false
564111.0;2023-11-28;terça-feira;11:30:00;SP;116.0;143;SAO JOSE DOS CAMPOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;"Retorno Regulamentado;Reta    ";Sim;2;0;0;1;1;0;1;2;-23,17849879;-45,83787411;SPRF-SP;DEL02-SP;UOP01-DEL02-SP;false
564159.0;2023-11-28;terça-feira;16:00:00;SP;116.0;305;SAO LOURENCO DA SERRA;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Sim;1;0;1;0;0;0;1;1;-23,84287313;-46,93238591;SPRF-SP;DEL04-SP;UOP01-DEL04-SP;false
